NIS;CATEGORIA;TIPO;RUBRO;DENOMINACION;PROVINCIA;PARTIDO;LOCALIDAD;CALLE;NUMERO;TITULAR;DDN;TELEFONO1;FAX;AREA;ZONA;NIS DEPENDENCIA;NOMBRE DEPENDENCIA;REGION;CATEGORIA DE SUCURSAL;EN RED;LIQUIDACION;EXENTO;DIVISION;SOCIEDAD;ALMACEN;CENTRO DE BENEFICIO;OFICINA DE CARGA DE CCT/ADMIN;CENTRO DE COSTO COMERCIAL;CENTRO DE COSTO COMERCIAL CORPORATIVO;CENTRO DE COSTO ELECTORAL;CENTRO DE COSTO GESTION DE RED;CENTRO DE COSTO OPERACIONES;CENTRO DE COSTO OPERATIVO;CENTRO DE COSTO RRHH;CENTRO DE COSTO SEGURIDAD;CENTRO DE COSTO ADMINISTRCION;CENTRO DE COSTO ADMISION;CENTRO DE COSTO CTP;CENTRO DE COSTO CTT;CENTRO DE COSTO TRANSPORTE;CENTRO DE COSTO LOGISTICA;Punto de Venta AUTO/AUTO;Punto de Venta CUENTA CORRIENTE;Punto de Venta MANUAL;Punto de Venta MANUAL/AUTO;Punto de Venta PLANTA MONTE GRANDE;Punto de Venta VIRTUAL;Punto de venta AUTO/AUTO;Punto de venta TERMINAL CARGA SAP;PAQAR_ADMISION;PAQAR_ENTREGA
A0000 ;SUCURSAL                      ;AUTOMATIZADA;SIN RUBRO ( SUCURSALES );SALTA;SALTA               ;CAPITAL                       ;SALTA;DEAN FUNES GREGORIO                                                                         ;160;ROBERTO FELIX CEFERINO AGUIRRE;387;"421-4741;421-2643;431-0567";;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;B;SI;NO;NO;P010;COAR;P010;9171747010;;71017010;;;;;;;;;;;;;;2442;;;714;;;;;X;X
A0006 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );AGUARAY;SALTA               ;GENERAL JOSE DE SAN MARTIN    ;AGUARAY;GUEMES GENERAL MARTIN MIGUEL DE                                                             ;99;GARZON, MARIA ALEJANDRA;3873;461419;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;NO;NO;P103;COAR;P103;9171701103;;71017103;;;;;;;;;;;;;;;;715;;;;;;X;X
A0007 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );APOLINARIO SARAVIA;SALTA               ;ANTA                          ;APOLINARIO SARAVIA;PEYROTTI GENERAL JUAN B                                                                     ;100;GUEVARA, CARLOS DANIEL;3877;493006;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;NO;NO;P104;COAR;P104;9171704104;;71017104;;;;;;;;;;;;;;;;716;;;;;;X;X
A0008 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );CACHI;SALTA               ;CACHI                         ;CACHI;GUEMES GENERAL MARTIN MIGUEL DE                                                             ;102;Miguel Mamani;3868;491131;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;NO;NO;P111;COAR;P111;9171705111;;71017111;;;;;;;;;;;;;;;;717;;;;;;X;X
A0009 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );CAFAYATE;SALTA               ;CAFAYATE                      ;CAFAYATE;GUEMES                                                                                      ;197;MOYA, RENE WALBERTO;3868;422077;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;NO;NO;P112;COAR;P112;9171706112;;71017112;;;;;;;;;;;;;;;;718;;;;;;X;X
A0011 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );AGENCIA CAMPO QUIJANO;SALTA               ;ROSARIO DE LERMA              ;CAMPO QUIJANO;9 DE JULIO                                                                                  ;601;DOMINGUEZ, HERNAN GUSTAVO;387;4904743;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;NO;NO;P113;COAR;P113;9171707113;;71017113;;;;;;;;;;;;;;;;816;;;;;;X;X
A0013 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );CERRILLOS;SALTA               ;CERRILLOS                     ;CERRILLOS;AMEGHINO FLORENTINO                                                                         ;215;Jorge Guaymas;387;4902909;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;NO;NO;P115;COAR;P115;9171709115;;71017115;;;;;;;;;;;;;;;;720;;;;;;X;X
A0014 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );CHICOANA;SALTA               ;CHICOANA                      ;CHICOANA;MORILLO DOCTOR ADOLFO                                                                       ;195;BRAVO, ROLANDO;387;4907932;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;B;SI;NO;NO;P116;COAR;P116;9171710116;;71017116;;;;;;;;;;;;;;;;721;;;;;;X;X
A0015 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );COLONIA SANTA ROSA;SALTA               ;ORAN                          ;COLONIA SANTA ROSA;SAN MARTIN                                                                                  ;318;Crisanta Vallejos;3878;494071;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;NO;NO;P117;COAR;P117;9171711117;;71017117;;;;;;;;;;;;;;;;722;;;;;;X;X
A0016 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );EL CARRIL;SALTA               ;CHICOANA                      ;EL CARRIL;D ANDREA LUCIO                                                                              ;100;YANEZ SANCHEZ, PABLO;387;4908375;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;NO;NO;P121;COAR;P121;9171714121;;71017121;;;;;;;;;;;;;;;;723;;;;;;X;X
A0017 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );EL GALPON;SALTA               ;METAN                         ;EL GALPON;SAN MARTIN GENERAL JOSE DE                                                                  ;569;GUTIERREZ HUGO DANIEL;3876;"491005;491492";;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;NO;NO;P122;COAR;P122;9171715122;;71017122;;;;;;;;;;;;;;;;724;;;;;;X;X
A0019 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );EMBARCACION;SALTA               ;GENERAL JOSE DE SAN MARTIN    ;EMBARCACION;24 DE SEPTIEMBRE                                                                            ;351;VAZQUEZ SERGIO ADOLFO;3878;"471227;47-1116";;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;B;SI;NO;NO;P123;COAR;P123;9171720123;;71017123;;;;;;;;;;;;;;;;725;;;;;;X;X
A0020 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );GRAL E.  MOSCONI;SALTA               ;GENERAL JOSE DE SAN MARTIN    ;GENERAL ENRIQUE MOSCONI;20 DE FEBRERO                                                                               ;0;Alvarado, Norberto Antonio;3873;481698;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;NO;NO;P132;COAR;P132;9171723132;;71017132;;;;;;;;;;;;;;;;726;;;;;;X;X
A0021 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );GENERAL GUEMES;SALTA               ;GENERAL GUEMES                ;GENERAL GUEMES;CABRED DOCTOR DOMINGO                                                                       ;201;Jorge  Liendro;387;4911030;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;B;SI;NO;NO;P131;COAR;P131;9171722131;;71017131;;;;;;;;;;;;;;;;727;;;;;;X;X
A0023 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );HIPOLITO YRIGOYEN;SALTA               ;ORAN                          ;HIPOLITO YRIGOYEN;GUEMES GENERAL MARTIN MIGUEL DE                                                             ;0;TOLEDO,ANGEL ALBERTO;3878;491504;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;NO;NO;P141;COAR;P141;9171726141;;71017141;;;;;;;;;;;;;;;;818;;;;;;X;X
A0024 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );JOAQUIN  V GONZALEZ;SALTA               ;ANTA                          ;JOAQUIN V GONZALEZ;BELGRANO GENERAL MANUEL                                                                     ;315;CAÑETE JUAN PEDRO;3877;42-4104;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;NO;NO;P151;COAR;P151;9171729151;;71017151;;;;;;;;;;;;;;;;728;;;;;;X;X
A0025 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );METAN;SALTA               ;METAN                         ;SAN JOSE DE METAN;SIERRA CAPITAN JOSE IGNACIO                                                                 ;358;VANUCCI JORGE HORACIO;3876;420459;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;B;SI;NO;NO;P161;COAR;P161;9171750161;;71017161;;;;;;;;;;;;;;;;729;;;;;;X;X
A0026 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );PICHANAL;SALTA               ;ORAN                          ;PICHANAL;SARMIENTO                                                                                   ;625;LOPEZ,JAVIER EDUARDO;3878;493024;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;B;SI;NO;NO;P171;COAR;P171;9171740171;;71017171;;;;;;;;;;;;;;;;730;;;;;;X;X
A0027 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );POCITOS;SALTA               ;GENERAL JOSE DE SAN MARTIN    ;SALVADOR MAZZA;SAN MARTIN                                                                                  ;198;SARZUR, JULIAN VICTOR;3873;471045;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;NO;NO;P172;COAR;P172;9171741172;;71017172;;;;;;;;;;;;;;;;731;;;;;;X;X
A0028 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );RIVADAVIA;SALTA               ;RIVADAVIA                     ;RIVADAVIA;PERON JUAN DOMINGO                                                                          ;100;LUNA GIULIANA;387;;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;NO;NO;P181;COAR;P181;9171747181;;71017181;;;;;;;;;;;;;;;;732;;;;;;X;X
A0029 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );ROSARIO DE LA FRONTERA;SALTA               ;ROSARIO DE LA FRONTERA        ;ROSARIO DE LA FRONTERA;SALTA PROVINCIA DE                                                                          ;296;Carlos Alberto Garcia;3876;481090;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;B;SI;NO;NO;P183;COAR;P183;9171745183;;71017183;;;;;;;;;;;;;;;;733;;;;;;X;X
A0030 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );ROSARIO DE  LERMA;SALTA               ;ROSARIO DE LERMA              ;ROSARIO DE LERMA;PELLEGRINI CARLOS                                                                           ;201;ZERPA RUBEN EDUARDO;387;4931012;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;NO;NO;P182;COAR;P182;9171746182;;71017182;;;;;;;;;;;;;;;;734;;;;;;X;X
A0031 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );SAN A . DE LOS COBRES;SALTA               ;LOS ANDES                     ;SAN ANTONIO DE LOS COBRES;BELGRANO GENERAL MANUEL                                                                     ;20;MAMANI ANGEL;387;4909031;490-9031;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;NO;NO;P191;COAR;P191;9171748191;;71017191;;;;;;;;;;;;;;;;735;;;;;;X;X
A0033 ;SUCURSAL                      ;AUTOMATIZADA;SIN RUBRO ( SUCURSALES );SAN RAMON DE LA NUEVA ORAN;SALTA               ;ORAN                          ;SAN RAMON DE LA NUEVA ORAN;LOPEZ Y PLANES VICENTE                                                                      ;402;VEGA JOSE LUIS;3878;"421013;422930";;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;B;SI;NO;NO;P193;COAR;P193;9171751193;;71017193;;;;;;;;;;;;;;2540;;;737;;;;;X;X
A0036 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );TALA;SALTA               ;LA CANDELARIA                 ;EL TALA;YRIGOYEN PRESIDENTE HIPOLITO                                                                ;153;MONTOYA, JULIO ARGENTINO;3876;49-2302;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;NO;NO;P201;COAR;P201;9171719201;;71017201;;;;;;;;;;;;;;;;739;;;;;;X;X
A0037 ;SUCURSAL                      ;AUTOMATIZADA;SIN RUBRO ( SUCURSALES );TARTAGAL;SALTA               ;GENERAL JOSE DE SAN MARTIN    ;TARTAGAL;GUEMES GENERAL MARTIN MIGUEL DE                                                             ;501;GUTIERREZ, ELIO;3873;"421643;421630";;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;B;SI;NO;NO;P202;COAR;P202;9171755202;;71017202;;;;;;;;;;;;;;2567;;;740;;;;;X;X
A0045 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );IRUYA;SALTA               ;IRUYA                         ;IRUYA;SAN MARTIN GENERAL JOSE DE                                                                  ;0;HERBE EFRAIN ARRAYA;3887;482001;;CUYO - NOA                    ;ZONA 9;;;CUYO - NOA                    ;C;SI;NO;NO;O151;COAR;O151;9171727151;;71010151;;;;;;;;;;;;;;;;684;;;;;;X;X
A1052 ;UNIDAD POSTAL                 ;UP;MUNICIPALIDAD;LA MERCED MUNICIPALIDAD;SALTA               ;CERRILLOS                     ;LA MERCED;YRIGOYEN HIPOLITO                                                                           ;874;Municipalidad - JUAN ANGEL PEREZ;387;490-6522;;CUYO - NOA                    ;ZONA 8;A0013;CERRILLOS                     ;CUYO - NOA                    ;;  ;;;P115;;;9171709115;;71017115;;;;;;;;;;;;;;;;;;;;;5530;X;X
A1138 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );SALTA  2;SALTA               ;CAPITAL                       ;SALTA;URQUIZA GENERAL JUSTO JOSE DE                                                               ;998;AGUIRRE OSCAR ALFREDO;387;4315084;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;NO;NO;P101;COAR;P101;9171747101;;71017101;;;;;;;;;;;;;;;;817;;;;;;X;X
A1168 ;AGENCIA                       ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );LA POMA;SALTA               ;LA POMA                       ;LA POMA;SAN MARTIN GENERAL JOSE DE                                                                  ;117;-;;NO POSEE;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;NO;;;P107;COAR;P107;9171733107;;71017107;;;;;;;;;;;;;;;;755;;;;;; ; 
A1199 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );SANTA VICTORIA ESTE;SALTA               ;RIVADAVIA                     ;SANTA VICTORIA ESTE;SALTA                                                                                       ;0;Beatriz Coman;3873;49-0159;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;;;P195;COAR;P195;9171752195;;71017195;;;;;;;;;;;;;;;;767;;;;;;X;X
A3014 ;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;SALTA IMPRENTA Y SELLOS ESPAÑA;SALTA               ;CAPITAL                       ;SALTA;20 DE FEBRERO                                                                               ;191;JULIO DEL FRARI;387;4211140;;CUYO - NOA                    ;ZONA 8;A0000;SALTA                         ;CUYO - NOA                    ;;  ;;;P010;;;9171747010;;71017010;;;;;;;;;;;;;;;;;;;;;;X;X
A3253;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );CIUDAD JUDICIAL SALTA;SALTA               ;CAPITAL                       ;SALTA;HOUSSAY DOCTOR BERNARDO                                                                     ;0;Jose Humberto Marco;387;4257346;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;NO;;P105;COAR;P105;9171747105;;71017105;;;;;;;;;;;;;;;;2750;;;;;;X;X
A3273;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );LAS LAJITAS;SALTA               ;ANTA                          ;LAS LAJITAS;SANTA FE                                                                                    ;0;QUIROZ ROBERTO;3877;49-4599;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;;;P106;;P106;9171735106;;71017106;;;;;;;;;;;;;;;;2767;;;;;;X;X
A3300;SUCURSAL                      ;AUTOMATIZADA;SIN RUBRO ( SUCURSALES );CAYE SALTA;SALTA               ;CAPITAL                       ;SALTA;KENNEDY PRESIDENTE JOHN FITZGERALD                                                          ;0;ANA MERCEDES PAEZ;387;"416-0531;416-0532;416-0533";;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;;;P970;;P970;9171747970;;71017970;;;;;;;;;;;;;;3047;;;3048;;;;;X;X
A3304;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;SALTA DRUGSTORE DYLAN 2;SALTA               ;CAPITAL                       ;SALTA;SILVA DE GURRUCHAGA MARTINA                                                                 ;634;NAZARIO JAVIER AGUILERA;;;;CUYO - NOA                    ;ZONA 8;A0000;SALTA                         ;CUYO - NOA                    ;C;  ;;;9P01;;;8011747901;;72017901;;;;;;;;;;;;;;;;;;;;;3570;X;X
A3305;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;SALTA TELECENTRO CASTAÑARES;SALTA               ;CAPITAL                       ;SALTA;ISASMENDI LOPEZ NICOLAS                                                                     ;0;BENITEZ TORRES JORGE EDUARDO;387;425-2338;;CUYO - NOA                    ;ZONA 8;A0000;SALTA                         ;CUYO - NOA                    ;C;  ;;;P010;;;9171747010;;71017010;;;;;;;;;;;;;;;;;;;;;9368;X;X
A3307;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;SALTA EDGARD RAMON ESLIMAN;SALTA               ;CAPITAL                       ;SALTA;MITRE GENERAL BARTOLOME                                                                     ;1804;EDGARD RAMON ESLIMAN;;;;CUYO - NOA                    ;ZONA 8;A0000;SALTA                         ;CUYO - NOA                    ;C;  ;;;P010;;;9171747010;;71017010;;;;;;;;;;;;;;;;;;;;;4419;X;X
A3308;UNIDAD POSTAL                 ;UP;MUNICIPALIDAD;EL QUEBRACHAL MUNICIPALIDAD;SALTA               ;ANTA                          ;EL QUEBRACHAL;SAN MARTIN GENERAL JOSE DE                                                                  ;0;ROLANDO RODOLFO ROJAS;;;;CUYO - NOA                    ;ZONA 8;A0024;JOAQUIN  V GONZALEZ           ;CUYO - NOA                    ;C;  ;;;P151;;;9171729151;;71017151;;;;;;;;;;;;;;;;;;;;;4458;X;X
A3309;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;SALTA MAXI KIOSKO LUISITO;SALTA               ;CAPITAL                       ;SALTA;ALVARADO GENERAL RUDECINDO                                                                  ;2147;LUIS ROBERTO ZULOAGA;;;;CUYO - NOA                    ;ZONA 8;A0000;SALTA                         ;CUYO - NOA                    ;C;  ;;;P010;;;9171747010;;71017010;;;;;;;;;;;;;;;;;;;;;4622;X;X
A3313;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;SALTA LIBRERIA ACUARELA;SALTA               ;CAPITAL                       ;SALTA;BATALLA DE SALTA                                                                            ;417;GIMENEZ RICARDO;;;;CUYO - NOA                    ;ZONA 8;A0000;SALTA                         ;CUYO - NOA                    ;C;  ;;;P105;;;9171747105;;71017105;;;;;;;;;;;;;;;;;;;;;5201;X;X
A3315;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;METAN ELMA RAQUEL RICO;SALTA               ;METAN                         ;SAN JOSE DE METAN;RIVADAVIA                                                                                   ;177;RICO ELMA RAQUEL;;;;CUYO - NOA                    ;ZONA 8;A0025;METAN                         ;CUYO - NOA                    ;C;  ;;;P161;;;9171750161;;71017161;;;;;;;;;;;;;;;;;;;;;5337;X;X
A3318;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;SALTA KIOSCO DF;SALTA               ;CAPITAL                       ;SALTA;ESPAÑA                                                                                      ;406;CAMARA SAMSON DANIEL OSCAR;387;452-9593;;CUYO - NOA                    ;ZONA 8;A0000;SALTA                         ;CUYO - NOA                    ;C;  ;;;P010;;;9171747010;;71017010;;;;;;;;;;;;;;;;;;;;;5615;X;X
A3320;UNIDAD POSTAL                 ;UP;KIOSCO;METAN KOALA;SALTA               ;METAN                         ;SAN JOSE DE METAN;BELGRANO GENERAL MANUEL                                                                     ;39;LOPEZ RAÚL DAVID;3876;40-6366;;CUYO - NOA                    ;ZONA 8;A0025;METAN                         ;CUYO - NOA                    ;C;  ;;;P161;;;9171750161;;71017161;;;;;;;;;;;;;;;;;;;;;5721;X;X
A3321;UNIDAD POSTAL                 ;UP;RESPUESTOS AUTOMOTOR;ORAN TALI PACK;SALTA               ;ORAN                          ;SAN RAMON DE LA NUEVA ORAN;LOPEZ Y PLANES VICENTE                                                                      ;798;TALI CATALINA ROSALIA;;;;CUYO - NOA                    ;ZONA 8;A0033;SAN RAMON DE LA NUEVA ORAN    ;CUYO - NOA                    ;C;  ;;;P193;;;9171751193;;71017193;;;;;;;;;;;;;;;;;;;;;6280;X;X
A3324;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;GRAL GUEMES CYBER ESPACIO;SALTA               ;GENERAL GUEMES                ;GENERAL GUEMES;ISLAS MALVINAS                                                                              ;861;LOPEZ OMAR ADOLFO;;;;CUYO - NOA                    ;ZONA 8;A0021;GENERAL GUEMES                ;CUYO - NOA                    ;C;  ;;;P131;;;9171722131;;71017131;;;;;;;;;;;;;;;;;;;;;6695;X;X
A3334;UNIDAD POSTAL                 ;UP;TOMBOLA;SALTA UP LA DOCE;SALTA               ;CAPITAL                       ;SALTA;12 DE OCTUBRE                                                                               ;212;ROBERTO ARIEL OCHOA SITJAR;;;;CUYO - NOA                    ;ZONA 8;A0000;SALTA                         ;CUYO - NOA                    ;C;  ;;;P010;;;9171747010;;71017010;;;;;;;;;;;;;;;;;;;;;7410;X;X
A3335;UNIDAD POSTAL                 ;UP;MUNICIPALIDAD;SANTA VICTORIA OESTE MUNICIPAL;SALTA               ;SANTA VICTORIA                ;SANTA VICTORIA OESTE;20 DE FEBRERO                                                                               ;0;VICTOR SANTOS QUISPE;;;;CUYO - NOA                    ;ZONA 8;Y0022;LA QUIACA                     ;CUYO - NOA                    ;C;  ;;;O162;;;9101027162;;71010162;;;;;;;;;;;;;;;;;;;;;7543;X;X
A3340;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;ORAN NORTE PACK;SALTA               ;ORAN                          ;SAN RAMON DE LA NUEVA ORAN;ARENALES                                                                                    ;997;GIMENEZ FABRICIO DANIEL;3878;24-8395;;CUYO - NOA                    ;ZONA 8;A0000;SALTA                         ;CUYO - NOA                    ;C;  ;;;P010;;;9171747010;;71017010;;;;;;;;;;;;;;;;;;;;;8322;X;X
A3341;UNIDAD POSTAL                 ;UP;PUNTO CORREO ANT. COMERCIAL;SALTA NORTE HAJ;SALTA               ;CAPITAL                       ;SALTA;YRIGOYEN PRESIDENTE HIPOLITO                                                                ;618;LENCINA JORGE ALEJANDRO;387;244-6112;;CUYO - NOA                    ;ZONA 8;A0000;SALTA                         ;CUYO - NOA                    ;C;  ;;;P010;;;9171747010;;71017010;;;;;;;;;;;;;;;;;;;;;8323;X;X
A3343;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;MUNICIPALIDAD DE GUACHIPAS;SALTA               ;GUACHIPAS                     ;GUACHIPAS;GUEMES GENERAL MARTIN MIGUEL DE                                                             ;0;DIEGO ARMANDO HUGO ONTIVEROS;387;412-0723;;CUYO - NOA                    ;ZONA 8;A0016;EL CARRIL                     ;CUYO - NOA                    ;C;  ;;;P121;;;9171714121;;71017121;;;;;;;;;;;;;;;;;;;;;8456;X;X
A3345;UNIDAD POSTAL                 ;UP;PUNTO CORREO ANT. COMERCIAL;TRANSPORTE IRUYA;SALTA               ;IRUYA                         ;IRUYA;133;0;MENDOZA ARMANDO DARIO;;;;CUYO - NOA                    ;ZONA 8;A0000;SALTA                         ;CUYO - NOA                    ;C;  ;;;P010;;;9171747010;;71017010;;;;;;;;;;;;;;;;;;;;;8504;X;X
A3346;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;SALVADOR MAZZA UP KIOSCO KEVIN;SALTA               ;GENERAL JOSE DE SAN MARTIN    ;SALVADOR MAZZA;MITRE BARTOLOME                                                                             ;0;PADILLA YANI FERNANDO CLAUDIO;;;;CUYO - NOA                    ;ZONA 8;A0027;POCITOS                       ;CUYO - NOA                    ;C;  ;;;P172;;;9171741172;;71017172;;;;;;;;;;;;;;;;;;;;;8627;X;X
A3349;UNIDAD POSTAL                 ;UP;PUNTO CORREO OPERATIVA;ROSARIO DE LERMA DISTRIBUCION;SALTA               ;ROSARIO DE LERMA              ;ROSARIO DE LERMA;CORTEZ MONSEÑOR CARLOS                                                                      ;31;ZERPA ALBORNOZ EDUARDO NICOLAS;;;;CUYO - NOA                    ;ZONA 8;A0030;ROSARIO DE  LERMA             ;CUYO - NOA                    ;C;  ;;;P182;;;9171746182;;71017182;;;;;;;;;;;;;;;;;;;;;8664;X;X
A3351;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;SALTA UP JOSEIRIS 2;SALTA               ;CAPITAL                       ;SALTA;MONFALCONE                                                                                  ;3094;SOTO FERNANDA DANIELA;;;;CUYO - NOA                    ;ZONA 8;A0000;SALTA                         ;CUYO - NOA                    ;C;  ;;;P010;;;9171747010;;71017010;;;;;;;;;;;;;;;;;;;;;8689;X;X
A3352;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;PICHANAL UP D&Q;SALTA               ;ORAN                          ;PICHANAL;SOLORZA                                                                                     ;0;SILISQUI DIEGO ARNALDO;;;;CUYO - NOA                    ;ZONA 8;A0000;SALTA                         ;CUYO - NOA                    ;C;  ;;;P010;;;9171747010;;71017010;;;;;;;;;;;;;;;;;;;;;8776;X;X
A3354;UNIDAD POSTAL                 ;UP;PUNTO CORREO INTEGRAL;CAFAYATE UP FLOW SNEAKERS;SALTA               ;CAFAYATE                      ;CAFAYATE;ARIAS SEBASTIAN                                                                             ;159;JUAN PABLO AGUILERA;;;;CUYO - NOA                    ;ZONA 8;A0009;CAFAYATE                      ;CUYO - NOA                    ;C;  ;;;P112;;;9171706112;;71017112;;;;;;;;;;;;;;;;;;;;;8789;X;X
A3355;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;CNEL CORNEJO UP DEL PUNTO;SALTA               ;GENERAL JOSE DE SAN MARTIN    ;CORONEL CORNEJO;BORG JUAN                                                                                   ;141;MARIANA ESTHER YANET OLIVARES;;;;CUYO - NOA                    ;ZONA 8;A0020;GRAL E.  MOSCONI              ;CUYO - NOA                    ;C;  ;;;P132;;;9171723132;;71017132;;;;;;;;;;;;;;;;;;;;;8790; ;X
A3356;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;ORAN SALTA UP NEKO;SALTA               ;ORAN                          ;SAN RAMON DE LA NUEVA ORAN;DORREGO CORONEL MANUEL                                                                      ;858;VERONICA GABRIELA KRUTZFELDT;;;;CUYO - NOA                    ;ZONA 8;A0033;SAN RAMON DE LA NUEVA ORAN    ;CUYO - NOA                    ;C;  ;;;P193;;;9171751193;;71017193;;;;;;;;;;;;;;;;;;;;;8857;X;X
