NIS;CATEGORIA;TIPO;RUBRO;DENOMINACION;PROVINCIA;PARTIDO;LOCALIDAD;CALLE;NUMERO;TITULAR;DDN;TELEFONO1;FAX;AREA;ZONA;NIS DEPENDENCIA;NOMBRE DEPENDENCIA;REGION;CATEGORIA DE SUCURSAL;EN RED;LIQUIDACION;EXENTO;DIVISION;SOCIEDAD;ALMACEN;CENTRO DE BENEFICIO;OFICINA DE CARGA DE CCT/ADMIN;CENTRO DE COSTO COMERCIAL;CENTRO DE COSTO COMERCIAL CORPORATIVO;CENTRO DE COSTO ELECTORAL;CENTRO DE COSTO GESTION DE RED;CENTRO DE COSTO OPERACIONES;CENTRO DE COSTO OPERATIVO;CENTRO DE COSTO RRHH;CENTRO DE COSTO SEGURIDAD;CENTRO DE COSTO ADMINISTRCION;CENTRO DE COSTO ADMISION;CENTRO DE COSTO CTP;CENTRO DE COSTO CTT;CENTRO DE COSTO TRANSPORTE;CENTRO DE COSTO LOGISTICA;Punto de Venta AUTO/AUTO;Punto de Venta CUENTA CORRIENTE;Punto de Venta MANUAL;Punto de Venta MANUAL/AUTO;Punto de Venta PLANTA MONTE GRANDE;Punto de Venta VIRTUAL;Punto de venta AUTO/AUTO;Punto de venta TERMINAL CARGA SAP;PAQAR_ADMISION;PAQAR_ENTREGA
B6628;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;TANDIL UP NRO. 10;BUENOS AIRES        ;TANDIL                        ;TANDIL;RICCHIERI                                                                                   ;271;CARELLI JULIETA BELEN;2494;;;BUENOS AIRES - LA PAMPA       ;ZONA 8;B0977;TANDIL                        ;BUENOS AIRES - LA PAMPA       ;C;  ;;;B461;;;9023121461;;71002461;;;;;;;;;;;;;;;;;;;;;9404;X;X
B6629;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;MANUEL B GONNET UP NRO 3;BUENOS AIRES        ;LA PLATA                      ;MANUEL B GONNET;18;2681;ELIZABET BEATRIZ PITA;;;;BUENOS AIRES - LA PAMPA       ;ZONA 1;B0280;MANUEL B. GONNET              ;BUENOS AIRES - LA PAMPA       ;C;  ;;;B313;;;9020266313;;71002313;;;;;;;;;;;;;;;;;;;;;9405;X;X
B6630;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;MAR DEL PLATA UP NRO 178;BUENOS AIRES        ;GENERAL PUEYRREDON            ;MAR DEL PLATA;LURO PEDRO                                                                                  ;6417;PAOLA OSTACHI;223;;;BUENOS AIRES - LA PAMPA       ;ZONA 8;B0900;MAR DEL PLATA                 ;BUENOS AIRES - LA PAMPA       ;C;  ;;;B316;;;9020253316;;71002316;;;;;;;;;;;;;;;;;;;;;9406;X;X
B6631;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;MORENO CEL-PAP;BUENOS AIRES        ;MORENO                        ;MORENO;VICTORICA                                                                                   ;4862;MARIA CELINA ETCHEGARAY;237;;;METROPOLITANA                 ;ZONA 5;B0171;MORENO                        ;METROPOLITANA                 ;C;  ;;;4405;;;9250285405;;71025405;;;;;;;;;;;;;;;;;;;;;9411;X;X
B6632;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;MERLO NEW CREAM DISTRIBUIDORA;BUENOS AIRES        ;MERLO                         ;MERLO;PERON PRESIDENTE JUAN DOMINGO                                                               ;26105;PINZAN VANINA ALEJANDRA;220;;;METROPOLITANA                 ;ZONA 5;B0170;MERLO                         ;METROPOLITANA                 ;C;  ;;;4402;;;9250282402;;71025402;;;;;;;;;;;;;;;;;;;;;9413;X;X
B6633;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;11 DE SEP RINCONCITO DE LOU;BUENOS AIRES        ;TRES DE FEBRERO               ;11 DE SEPTIEMBRE;BERUTI                                                                                      ;1795;GOMEZ LOURDES ANALY;11;;;METROPOLITANA                 ;ZONA 5;B0007;LOMA HERMOSA                  ;METROPOLITANA                 ;C;  ;;;4183;;;9253128183;;71025183;;;;;;;;;;;;;;;;;;;;;9414;X;X
B6634;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;V BOSCH RAPIPAGO;BUENOS AIRES        ;TRES DE FEBRERO               ;VILLA BOSCH;JUAN XXIII                                                                                  ;1074;SCHIEPELOHUT ADRIANA GABRIELA;11;;;METROPOLITANA                 ;ZONA 5;B0007;LOMA HERMOSA                  ;METROPOLITANA                 ;C;  ;;;4183;;;9253128183;;71025183;;;;;;;;;;;;;;;;;;;;;9415;X;X
B6635;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;MAR DEL PLATA UP NRO 179;BUENOS AIRES        ;GENERAL PUEYRREDON            ;MAR DEL PLATA;PATAGONES                                                                                   ;335;LARA ANTONELLA RODRIGUEZ;223;;;BUENOS AIRES - LA PAMPA       ;ZONA 8;B0900;MAR DEL PLATA                 ;BUENOS AIRES - LA PAMPA       ;C;  ;;;B316;;;9020253316;;71002316;;;;;;;;;;;;;;;;;;;;;9420;X;X
B6636;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;LOMA HERMOSA BUENA ONDA;BUENOS AIRES        ;TRES DE FEBRERO               ;LOMA HERMOSA;LAVALLE GENERAL JUAN                                                                        ;8644;CUSANO ESTEFANIA AGUSTINA RITA;11;;;METROPOLITANA                 ;ZONA 5;B0007;LOMA HERMOSA                  ;METROPOLITANA                 ;C;  ;;;4183;;;9253128183;;71025183;;;;;;;;;;;;;;;;;;;;;9421;X;X
B6637;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;EZPELETA PISCIS MULTICEL;BUENOS AIRES        ;QUILMES                       ;EZPELETA;ASUNCION                                                                                    ;5313;BULLA LAURA CECILIA;11;;;METROPOLITANA                 ;ZONA 3;B0093;EZPELETA                      ;METROPOLITANA                 ;C;  ;;;4333;;;9253101333;;71025333;;;;;;;;;;;;;;;;;;;;;9422;X;X
